CódigoDoCliente;NomeDaEmpresa;NomeDoContato;CargoDoContato;Endereço;Cidade;Região;CEP;País;Telefone;Fax;;World.Name
SUPRD;Suprêmes délices;Pascale Cartrain;Gerente Financeiro;Boulevard Tirou, 255;Charleroi;;B-6000;Bélgica;(071) 23 67 22 20;(071) 23 67 22 21;;BEL
COMMI;Comércio Mineiro;Pedro Afonso;Assessor de Vendas;Av. dos Lusíadas, 23;São Paulo;SP;05432-043;Brasil;(11) 555-7647;;;BRA
FAMIA;Familia Arquibaldo;Aria Cruz;Assistente de Marketing;Rua Orós, 92;São Paulo;SP;05442-030;Brasil;(11) 555-9857;;;BRA
GOURL;Gourmet Lanchonetes;André Fonseca;Assessor de Vendas;Av. Brasil, 442;Campinas;SP;04876-786;Brasil;(11) 555-9482;;;BRA
HANAR;Hanari Carnes;Mario Pontes;Gerente Financeiro;Rua do Paço, 67;Rio de Janeiro;RJ;05454-876;Brasil;(21) 555-0091;(21) 555-8765;;BRA
QUEDE;Que Delícia;Bernardo Batista;Gerente Financeiro;Rua da Panificadora, 12;Rio de Janeiro;RJ;02389-673;Brasil;(21) 555-4252;(21) 555-4545;;BRA
QUEEN;Queen Cozinha;Lúcia Carvalho;Assistente de Marketing;Alameda dos Canàrios, 891;São Paulo;SP;05487-020;Brasil;(11) 555-1189;;;BRA
RICAR;Ricardo Adocicados;Janete Limeira;Assistente do Agente de Vendas;Av. Copacabana, 267;Rio de Janeiro;RJ;02389-890;Brasil;(21) 555-3412;;;BRA
TRADH;Tradição Hipermercados;Anabela Domingues;Representante de Vendas;Av. Inês de Castro, 414;São Paulo;SP;05634-030;Brasil;(11) 555-2167;(11) 555-2168;;BRA
WELLI;Wellington Importadora;Paula Parente;Gerente de Vendas;Rua do Mercado, 12;Resende;SP;08737-363;Brasil;(14) 555-8122;;;BRA
BOTTM;Bottom-Dollar Markets;Elizabeth Lincoln;Gerente Financeiro;23 Tsawassen Blvd.;Tsawassen;BC;T2F 8M4;Canadá;(604) 555-4729;(604) 555-3745;;CAN
LAUGB;Laughing Bacchus Wine Cellars;Yoshi Tannamuri;Assistente de Marketing;1900 Oak St.;Vancouver;BC;V3F 2K1;Canadá;(604) 555-3392;(604) 555-7293;;CAN
MEREP;Mère Paillarde;Jean Fresnière;Assistente de Marketing;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canadá;(514) 555-8054;(514) 555-8055;;CAN
SIMOB;Simons bistro;Jytte Petersen;Proprietário;Vinbæltet 34;København;;1734;Dinamarca;31 12 34 56;31 13 35 57;;DNK
VAFFE;Vaffeljernet;Palle Ibsen;Gerente de Vendas;Smagsløget 45;Århus;;8200;Dinamarca;86 21 32 43;86 22 33 44;;DNK
BOLID;Bólido Comidas preparadas;Martín Sommer;Proprietário;C/ Araquil, 67;Madrid;;28023;Espanha;(91) 555 22 82;(91) 555 91 99;;ESP
FISSA;FISSA Fabrica Inter. Salchichas S.A.;Diego Roel;Gerente Financeiro;C/ Moralzarzal, 86;Madrid;;28034;Espanha;(91) 555 94 44;(91) 555 55 93;;ESP
GALED;Galería del gastrónomo;Eduardo Saavedra;Gerente de Marketing;Rambla de Cataluña, 23;Barcelona;;08022;Espanha;(93) 203 4560;(93) 203 4561;;ESP
GODOS;Godos Cocina Típica;José Pedro Freyre;Gerente de Vendas;C/ Romero, 33;Sevilla;;41101;Espanha;(95) 555 82 82;;;ESP
ROMEY;Romero y tomillo;Alejandra Camino;Gerente Financeiro;Gran Vía, 1;Madrid;;28001;Espanha;(91) 745 6200;(91) 745 6210;;ESP
GREAL;Great Lakes Food Market;Howard Snyder;Gerente de Marketing;2732 Baker Blvd.;Eugene;OR;97403;EUA;(503) 555-7555;;;USA
HUNGC;Hungry Coyote Import Store;Yoshi Latimer;Representante de Vendas;"City Center Plaza
516 Main St.";Elgin;OR;97827;EUA;(503) 555-6874;(503) 555-2376;;USA
LAZYK;Lazy K Kountry Store;John Steel;Gerente de Marketing;12 Orchestra Terrace;Walla Walla;WA;99362;EUA;(509) 555-7969;(509) 555-6221;;USA
LETSS;Let's Stop N Shop;Jaime Yorres;Proprietário;"87 Polk St.
Suite 5";San Francisco;CA;94117;EUA;(415) 555-5938;;;USA
LONEP;Lonesome Pine Restaurant;Fran Wilson;Gerente de Vendas;89 Chiaroscuro Rd.;Portland;OR;97219;EUA;(503) 555-9573;(503) 555-9646;;USA
OLDWO;Old World Delicatessen;Rene Phillips;Representante de Vendas;2743 Bering St.;Anchorage;AK;99508;EUA;(907) 555-7584;(907) 555-2880;;USA
RATTC;Rattlesnake Canyon Grocery;Paula Wilson;Assistente do Repr. de Vendas;2817 Milton Dr.;Albuquerque;NM;87110;EUA;(505) 555-5939;(505) 555-3620;;USA
SAVEA;Save-a-lot Markets;Jose Pavarotti;Representante de Vendas;187 Suffolk Ln.;Boise;ID;83720;EUA;(208) 555-8097;;;USA
SPLIR;Split Rail Beer & Ale;Art Braunschweiger;Gerente de Vendas;P.O. Box 555;Lander;WY;82520;EUA;(307) 555-4680;(307) 555-6525;;USA
THEBI;The Big Cheese;Liz Nixon;Gerente de Marketing;"89 Jefferson Way
Suite 2";Portland;OR;97201;EUA;(503) 555-3612;;;USA
THECR;The Cracker Box;Liu Wong;Assistente de Marketing;55 Grizzly Peak Rd.;Butte;MT;59801;EUA;(406) 555-5834;(406) 555-8083;;USA
TRAIH;Trail's Head Gourmet Provisioners;Helvetius Nagy;Assessor de Vendas;722 DaVinci Blvd.;Kirkland;WA;98034;EUA;(206) 555-8257;(206) 555-2174;;USA
WHITC;White Clover Markets;Karl Jablonski;Proprietário;"305 - 14th Ave. S.
Suite 3B";Seattle;WA;98128;EUA;(206) 555-4112;(206) 555-4115;;USA
WARTH;Wartian Herkku;Pirkko Koskitalo;Gerente Financeiro;Torikatu 38;Oulu;;90110;Finlândia;981-443655;981-443655;;FIN
WILMK;Wilman Kala;Matti Karttunen;Proprietário/Assist. Marketing;Keskuskatu 45;Helsinki;;21240;Finlândia;90-224 8858;90-224 8858;;FIN
BLONP;Blondel père et fils;Frédérique Citeaux;Gerente de Marketing;24, place Kléber;Strasbourg;;67000;França;88.60.15.31;88.60.15.32;;FRA
BONAP;Bon app';Laurence Lebihan;Proprietário;12, rue des Bouchers;Marseille;;13008;França;91.24.45.40;91.24.45.41;;FRA
DUMON;Du monde entier;Janine Labrune;Proprietário;67, rue des Cinquante Otages;Nantes;;44000;França;40.67.88.88;40.67.89.89;;FRA
FOLIG;Folies gourmandes;Martine Rancé;Assistente do Agente de Vendas;184, chaussée de Tournai;Lille;;59000;França;20.16.10.16;20.16.10.17;;FRA
FRANR;France restauration;Carine Schmitt;Gerente de Marketing;54, rue Royale;Nantes;;44000;França;40.32.21.21;40.32.21.20;;FRA
LACOR;La corne d'abondance;Daniel Tonini;Representante de Vendas;67, avenue de l'Europe;Versailles;;78000;França;30.59.84.10;30.59.85.11;;FRA
LAMAI;La maison d'Asie;Annette Roulet;Gerente de Vendas;1 rue Alsace-Lorraine;Toulouse;;31000;França;61.77.61.10;61.77.61.11;;FRA
PARIS;Paris spécialités;Marie Bertrand;Proprietário;265, boulevard Charonne;Paris;;75012;França;(1) 42.34.22.66;(1) 42.34.22.77;;FRA
SPECD;Spécialités du monde;Dominique Perrier;Gerente de Marketing;25, rue Lauriston;Paris;;75016;França;(1) 47.55.60.10;(1) 47.55.60.20;;FRA
VICTE;Victuailles en stock;Mary Saveley;Agente de Vendas;2, rue du Commerce;Lyon;;69004;França;78.32.54.86;78.32.54.87;;FRA
VINET;Vins et alcools Chevalier;Paul Henriot;Gerente Financeiro;59 rue de l'Abbaye;Reims;;51100;França;26.47.15.10;26.47.15.11;;FRA
HUNGO;Hungry Owl All-Night Grocers;Patricia McKenna;Assessor de Vendas;8 Johnstown Road;Cork;Co. Cork;;Irlanda;2967 542;2967 3333;;IRL
FRANS;Franchi S.p.A.;Paolo Accorti;Representante de Vendas;Via Monte Bianco 34;Torino;;10100;Itália;011-4988260;011-4988261;;ITA
MAGAA;Magazzini Alimentari Riuniti;Giovanni Rovelli;Gerente de Marketing;Via Ludovico il Moro 22;Bergamo;;24100;Itália;035-640230;035-640231;;ITA
REGGC;Reggiani Caseifici;Maurizio Moroni;Assessor de Vendas;Strada Provinciale 124;Reggio Emilia;;42100;Itália;0522-556721;0522-556722;;ITA
ANATR;Ana Trujillo Emparedados y helados;Ana Trujillo;Proprietário;Avda. de la Constitución 2222;México D.F.;;05021;México;(5) 555-4729;(5) 555-3745;;MEX
ANTON;Antonio Moreno Taquería;Antonio Moreno;Proprietário;Mataderos  2312;México D.F.;;05023;México;(5) 555-3932;;;MEX
CENTC;Centro comercial Moctezuma;Francisco Chang;Gerente de Marketing;Sierras de Granada 9993;México D.F.;;05022;México;(5) 555-3392;(5) 555-7293;;MEX
PERIC;Pericles Comidas clásicas;Guillermo Fernández;Representante de Vendas;Calle Dr. Jorge Cash 321;México D.F.;;05033;México;(5) 552-3745;(5) 545-3745;;MEX
TORTU;Tortuga Restaurante;Miguel Angel Paolino;Proprietário;Avda. Azteca 123;México D.F.;;05033;México;(5) 555-2933;;;MEX
SANTG;Santé Gourmet;Jonas Bergulfsen;Proprietário;Erling Skakkes gate 78;Stavern;;4110;Noruega;07-98 92 35;07-98 92 47;;NOR
WOLZA;Wolski  Zajazd;Zbyszek Piestrzeniewicz;Proprietário;ul. Filtrowa 68;Warszawa;;01-012;Polônia;(26) 642-7012;(26) 642-7012;;POL
FURIB;Furia Bacalhau e Frutos do Mar;Lino Rodriguez;Gerente de Vendas;Jardim das rosas n. 32;Lisboa;;1675;Portugal;(1) 354-2534;(1) 354-2535;;PRT
PRINI;Princesa Isabel Vinhos;Isabel de Castro;Representante de Vendas;Estrada da saúde n. 58;Lisboa;;1756;Portugal;(1) 356-5634;;;PRT
AROUT;Around the Horn;Thomas Hardy;Representante de Vendas;120 Hanover Sq.;London;;WA1 1DP;Reino Unido;(171) 555-7788;(171) 555-6750;;GBR
BSBEV;B's Beverages;Victoria Ashworth;Representante de Vendas;Fauntleroy Circus;London;;EC2 5NT;Reino Unido;(171) 555-1212;;;GBR
CONSH;Consolidated Holdings;Elizabeth Brown;Representante de Vendas;"Berkeley Gardens
12  Brewery";London;;WX1 6LT;Reino Unido;(171) 555-2282;(171) 555-9199;;GBR
EASTC;Eastern Connection;Ann Devon;Agente de Vendas;35 King George;London;;WX3 6FW;Reino Unido;(171) 555-0297;(171) 555-3373;;GBR
ISLAT;Island Trading;Helen Bennett;Gerente de Marketing;"Garden House
Crowther Way";Cowes;Isle of Wigth;PO31 7PJ;Reino Unido;(198) 555-8888;;;GBR
NORTS;North/South;Simon Crowther;Assessor de Vendas;"South House
300 Queensbridge";London;;SW7 1RZ;Reino Unido;(171) 555-7733;(171) 555-2530;;GBR
SEVES;Seven Seas Imports;Hari Kumar;Gerente de Vendas;90 Wadhurst Rd.;London;;OX15 4NB;Reino Unido;(171) 555-1717;(171) 555-5646;;GBR
BERGS;Berglunds snabbköp;Christina Berglund;Administrador de Pedidos;Berguvsvägen  8;Luleå;;S-958 22;Suécia;0921-12 34 65;0921-12 34 67;;SWE
FOLKO;Folk och fä HB;Maria Larsson;Proprietário;Åkergatan 24;Bräcke;;S-844 67;Suécia;0695-34 67 21;;;SWE
CHOPS;Chop-suey Chinese;Yang Wang;Proprietário;Hauptstr. 29;Bern;;3012;Suíça;0452-076545;;;CHE
RICSU;Richter Supermarkt;Michael Holz;Gerente de Vendas;Grenzacherweg 237;Genève;;1203;Suíça;0897-034214;;;CHE
GROSR;GROSELLA-Restaurante;Manuel Pereira;Proprietário;5ª Ave. Los Palos Grandes;Caracas;DF;1081;Venezuela;(2) 283-2951;(2) 283-3397;;VEN
HILAA;HILARIÓN-Abastos;Carlos Hernández;Representante de Vendas;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Táchira;5022;Venezuela;(5) 555-1340;(5) 555-1948;;VEN
LILAS;LILA-Supermercado;Carlos González;Gerente Financeiro;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela;(9) 331-6954;(9) 331-7256;;VEN
LINOD;LINO-Delicateses;Felipe Izquierdo;Proprietário;Ave. 5 de Mayo Porlamar;I. de Margarita;Nueva Esparta;4980;Venezuela;(8) 34-56-12;(8) 34-93-93;;VEN
