NúmeroDoPedido;CódigoDoCliente;CódigoDoFuncionário;DataDoPedido;DataDeEntrega;DataDeEntrega;DataDeEnvio;Via;Frete;NomeDoDestinatário;EndereçoDoDestinatário;CidadeDeDestino;RegiãoDeDestino;CEPdeDestino;PaísDeDestino
10259;CENTC;4;13/07/2016;10/08/2016;05/08/2036;20/07/2016;3;3,25;Centro comercial Moctezuma;Sierras de Granada 9993;México D.F.;;05022;México
10260;OTTIK;4;14/07/2016;11/08/2016;06/08/2036;24/07/2016;1;55,09;Ottilies Käseladen;Mehrheimerstr. 369;Köln;;50739;Alemanha
10261;QUEDE;4;14/07/2016;11/08/2016;06/08/2036;25/07/2016;2;3,05;Que Delícia;Rua da Panificadora, 12;Rio de Janeiro;RJ;02389-673;Brasil
10262;RATTC;8;17/07/2016;14/08/2016;09/08/2036;20/07/2016;3;48,29;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;EUA
10263;ERNSH;9;18/07/2016;15/08/2016;10/08/2036;26/07/2016;3;146,06;Ernst Handel;Kirchgasse 6;Graz;;8010;Áustria
10264;FOLKO;6;19/07/2016;16/08/2016;11/08/2036;18/08/2016;3;3,67;Folk och fä HB;Åkergatan 24;Bräcke;;S-844 67;Suécia
10265;BLONP;2;20/07/2016;17/08/2016;12/08/2036;07/08/2016;1;55,28;Blondel père et fils;24, place Kléber;Strasbourg;;67000;França
10266;WARTH;3;21/07/2016;01/09/2016;27/08/2036;26/07/2016;3;25,73;Wartian Herkku;Torikatu 38;Oulu;;90110;Finlândia
10267;FRANK;4;24/07/2016;21/08/2016;16/08/2036;01/08/2016;1;208,58;Frankenversand;Berliner Platz 43;München;;80805;Alemanha
10268;GROSR;8;25/07/2016;22/08/2016;17/08/2036;28/07/2016;3;66,29;GROSELLA-Restaurante;5ª Ave. Los Palos Grandes;Caracas;DF;1081;Venezuela
10269;WHITC;5;26/07/2016;09/08/2016;04/08/2036;04/08/2016;1;4,56;White Clover Markets;1029 - 12th Ave. S.;Seattle;WA;98124;EUA
10270;WARTH;1;27/07/2016;24/08/2016;19/08/2036;28/07/2016;1;136,54;Wartian Herkku;Torikatu 38;Oulu;;90110;Finlândia
10271;SPLIR;6;27/07/2016;24/08/2016;19/08/2036;25/08/2016;2;4,54;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;EUA
10272;RATTC;6;28/07/2016;25/08/2016;20/08/2036;01/08/2016;2;98,03;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;EUA
10273;QUICK;3;31/07/2016;28/08/2016;23/08/2036;07/08/2016;3;76,07;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Alemanha
10274;VINET;6;01/08/2016;29/08/2016;24/08/2036;11/08/2016;1;6,01;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;França
10275;MAGAA;1;02/08/2016;30/08/2016;25/08/2036;04/08/2016;1;26,93;Magazzini Alimentari Riuniti;Via Ludovico il Moro 22;Bergamo;;24100;Itália
10276;TORTU;8;03/08/2016;17/08/2016;12/08/2036;09/08/2016;3;13,84;Tortuga Restaurante;Avda. Azteca 123;México D.F.;;05033;México
10277;MORGK;2;04/08/2016;01/09/2016;27/08/2036;08/08/2016;3;125,77;Morgenstern Gesundkost;Heerstr. 22;Leipzig;;04179;Alemanha
10278;BERGS;8;07/08/2016;04/09/2016;30/08/2036;11/08/2016;2;92,69;Berglunds snabbköp;Berguvsvägen  8;Luleå;;S-958 22;Suécia
10279;LEHMS;8;08/08/2016;05/09/2016;31/08/2036;11/08/2016;2;25,83;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Alemanha
10280;BERGS;2;09/08/2016;06/09/2016;01/09/2036;07/09/2016;1;8,98;Berglunds snabbköp;Berguvsvägen  8;Luleå;;S-958 22;Suécia
10281;ROMEY;4;09/08/2016;23/08/2016;18/08/2036;16/08/2016;1;2,94;Romero y tomillo;Gran Vía, 1;Madrid;;28001;Espanha
10282;ROMEY;4;10/08/2016;07/09/2016;02/09/2036;16/08/2016;1;12,69;Romero y tomillo;Gran Vía, 1;Madrid;;28001;Espanha
10283;LILAS;3;11/08/2016;08/09/2016;03/09/2036;18/08/2016;3;84,81;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
10284;LEHMS;4;14/08/2016;11/09/2016;06/09/2036;22/08/2016;1;76,56;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Alemanha
10285;QUICK;1;15/08/2016;12/09/2016;07/09/2036;21/08/2016;2;76,83;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Alemanha
10286;QUICK;8;16/08/2016;13/09/2016;08/09/2036;25/08/2016;3;229,24;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Alemanha
10287;RICAR;8;17/08/2016;14/09/2016;09/09/2036;23/08/2016;3;12,76;Ricardo Adocicados;Av. Copacabana, 267;Rio de Janeiro;RJ;02389-890;Brasil
10288;REGGC;4;18/08/2016;15/09/2016;10/09/2036;29/08/2016;1;7,45;Reggiani Caseifici;Strada Provinciale 124;Reggio Emilia;;42100;Itália
10289;BSBEV;7;21/08/2016;18/09/2016;13/09/2036;23/08/2016;3;22,77;B's Beverages;Fauntleroy Circus;London;;EC2 5NT;Reino Unido
10290;COMMI;8;22/08/2016;19/09/2016;14/09/2036;29/08/2016;1;79,70;Comércio Mineiro;Av. dos Lusíadas, 23;São Paulo;SP;05432-043;Brasil
10291;QUEDE;6;22/08/2016;19/09/2016;14/09/2036;30/08/2016;2;6,40;Que Delícia;Rua da Panificadora, 12;Rio de Janeiro;RJ;02389-673;Brasil
10292;TRADH;1;23/08/2016;20/09/2016;15/09/2036;28/08/2016;2;1,35;Tradição Hipermercados;Av. Inês de Castro, 414;São Paulo;SP;05634-030;Brasil
10293;TORTU;1;24/08/2016;21/09/2016;16/09/2036;06/09/2016;3;21,18;Tortuga Restaurante;Avda. Azteca 123;México D.F.;;05033;México
10294;RATTC;4;25/08/2016;22/09/2016;17/09/2036;31/08/2016;2;147,26;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;EUA
10295;VINET;2;28/08/2016;25/09/2016;20/09/2036;05/09/2016;2;1,15;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;França
10296;LILAS;6;29/08/2016;26/09/2016;21/09/2036;06/09/2016;1;0,12;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
10297;BLONP;5;30/08/2016;11/10/2016;06/10/2036;05/09/2016;2;5,74;Blondel père et fils;24, place Kléber;Strasbourg;;67000;França
10298;HUNGO;6;31/08/2016;28/09/2016;23/09/2036;06/09/2016;2;168,22;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Irlanda
10299;RICAR;4;01/09/2016;29/09/2016;24/09/2036;08/09/2016;2;29,76;Ricardo Adocicados;Av. Copacabana, 267;Rio de Janeiro;RJ;02389-890;Brasil
10300;MAGAA;2;04/09/2016;02/10/2016;27/09/2036;13/09/2016;2;17,68;Magazzini Alimentari Riuniti;Via Ludovico il Moro 22;Bergamo;;24100;Itália
10301;WANDK;8;04/09/2016;02/10/2016;27/09/2036;12/09/2016;2;45,08;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Alemanha
10302;SUPRD;4;05/09/2016;03/10/2016;28/09/2036;04/10/2016;2;6,27;Suprêmes délices;Boulevard Tirou, 255;Charleroi;;B-6000;Bélgica
10303;GODOS;7;06/09/2016;04/10/2016;29/09/2036;13/09/2016;2;107,83;Godos Cocina Típica;C/ Romero, 33;Sevilla;;41101;Espanha
10304;TORTU;1;07/09/2016;05/10/2016;30/09/2036;12/09/2016;2;63,79;Tortuga Restaurante;Avda. Azteca 123;México D.F.;;05033;México
10305;OLDWO;8;08/09/2016;06/10/2016;01/10/2036;04/10/2016;3;257,62;Old World Delicatessen;2743 Bering St.;Anchorage;AK;99508;EUA
10306;ROMEY;1;11/09/2016;09/10/2016;04/10/2036;18/09/2016;3;7,56;Romero y tomillo;Gran Vía, 1;Madrid;;28001;Espanha
10307;LONEP;2;12/09/2016;10/10/2016;05/10/2036;20/09/2016;2;0,56;Lonesome Pine Restaurant;89 Chiaroscuro Rd.;Portland;OR;97219;EUA
10308;ANATR;7;13/09/2016;11/10/2016;06/10/2036;19/09/2016;3;1,61;Ana Trujillo Emparedados y helados;Avda. de la Constitución 2222;México D.F.;;05021;México
10309;HUNGO;3;14/09/2016;12/10/2016;07/10/2036;18/10/2016;1;47,30;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Irlanda
10310;THEBI;8;15/09/2016;13/10/2016;08/10/2036;22/09/2016;2;17,52;The Big Cheese;"89 Jefferson Way
Suite 2";Portland;OR;97201;EUA
10311;DUMON;1;15/09/2016;29/09/2016;24/09/2036;21/09/2016;3;24,69;Du monde entier;67, rue des Cinquante Otages;Nantes;;44000;França
10312;WANDK;2;18/09/2016;16/10/2016;11/10/2036;28/09/2016;2;40,26;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Alemanha
10313;QUICK;2;19/09/2016;17/10/2016;12/10/2036;29/09/2016;2;1,96;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Alemanha
10314;RATTC;1;20/09/2016;18/10/2016;13/10/2036;29/09/2016;2;74,16;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;EUA
10315;ISLAT;4;21/09/2016;19/10/2016;14/10/2036;28/09/2016;2;41,76;Island Trading;"Garden House
Crowther Way";Cowes;Isle of Wight;PO31 7PJ;Reino Unido
10316;RATTC;1;22/09/2016;20/10/2016;15/10/2036;03/10/2016;3;150,15;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;EUA
10317;LONEP;6;25/09/2016;23/10/2016;18/10/2036;05/10/2016;1;12,69;Lonesome Pine Restaurant;89 Chiaroscuro Rd.;Portland;OR;97219;EUA
10318;ISLAT;8;26/09/2016;24/10/2016;19/10/2036;29/09/2016;2;4,73;Island Trading;"Garden House
Crowther Way";Cowes;Isle of Wight;PO31 7PJ;Reino Unido
10319;TORTU;7;27/09/2016;25/10/2016;20/10/2036;06/10/2016;3;64,50;Tortuga Restaurante;Avda. Azteca 123;México D.F.;;05033;México
10320;WARTH;5;28/09/2016;12/10/2016;07/10/2036;13/10/2016;3;34,57;Wartian Herkku;Torikatu 38;Oulu;;90110;Finlândia
10321;ISLAT;3;28/09/2016;26/10/2016;21/10/2036;06/10/2016;2;3,43;Island Trading;"Garden House
Crowther Way";Cowes;Isle of Wight;PO31 7PJ;Reino Unido
10322;PERIC;7;29/09/2016;27/10/2016;22/10/2036;18/10/2016;3;0,40;Pericles Comidas clásicas;Calle Dr. Jorge Cash 321;México D.F.;;05033;México
10323;KOENE;4;02/10/2016;30/10/2016;25/10/2036;09/10/2016;1;4,88;Königlich Essen;Maubelstr. 90;Brandenburg;;14776;Alemanha
10324;SAVEA;9;03/10/2016;31/10/2016;26/10/2036;05/10/2016;1;214,27;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;EUA
10325;KOENE;1;04/10/2016;18/10/2016;13/10/2036;09/10/2016;3;64,86;Königlich Essen;Maubelstr. 90;Brandenburg;;14776;Alemanha
10326;BOLID;4;05/10/2016;02/11/2016;28/10/2036;09/10/2016;2;77,92;Bólido Comidas preparadas;C/ Araquil, 67;Madrid;;28023;Espanha
10327;FOLKO;2;06/10/2016;03/11/2016;29/10/2036;09/10/2016;1;63,36;Folk och fä HB;Åkergatan 24;Bräcke;;S-844 67;Suécia
10328;FURIB;4;09/10/2016;06/11/2016;01/11/2036;12/10/2016;3;87,03;Furia Bacalhau e Frutos do Mar;Jardim das rosas n. 32;Lisboa;;1675;Portugal
10329;SPLIR;4;10/10/2016;21/11/2016;16/11/2036;18/10/2016;2;191,67;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;EUA
10330;LILAS;3;11/10/2016;08/11/2016;03/11/2036;23/10/2016;1;12,75;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
10331;BONAP;9;11/10/2016;22/11/2016;17/11/2036;16/10/2016;1;10,19;Bon app';12, rue des Bouchers;Marseille;;13008;França
10332;MEREP;3;12/10/2016;23/11/2016;18/11/2036;16/10/2016;2;52,84;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canadá
10333;WARTH;5;13/10/2016;10/11/2016;05/11/2036;20/10/2016;3;0,59;Wartian Herkku;Torikatu 38;Oulu;;90110;Finlândia
10334;VICTE;8;16/10/2016;13/11/2016;08/11/2036;23/10/2016;2;8,56;Victuailles en stock;2, rue du Commerce;Lyon;;69004;França
10335;HUNGO;7;17/10/2016;14/11/2016;09/11/2036;19/10/2016;2;42,11;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Irlanda
10336;PRINI;7;18/10/2016;15/11/2016;10/11/2036;20/10/2016;2;15,51;Princesa Isabel Vinhos;Estrada da saúde n. 58;Lisboa;;1756;Portugal
10337;FRANK;4;19/10/2016;16/11/2016;11/11/2036;24/10/2016;3;108,26;Frankenversand;Berliner Platz 43;München;;80805;Alemanha
10338;OLDWO;4;20/10/2016;17/11/2016;12/11/2036;24/10/2016;3;84,21;Old World Delicatessen;2743 Bering St.;Anchorage;AK;99508;EUA
10339;MEREP;2;23/10/2016;20/11/2016;15/11/2036;30/10/2016;2;15,66;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canadá
10340;BONAP;1;24/10/2016;21/11/2016;16/11/2036;03/11/2016;3;166,31;Bon app';12, rue des Bouchers;Marseille;;13008;França
10341;SIMOB;7;24/10/2016;21/11/2016;16/11/2036;31/10/2016;3;26,78;Simons bistro;Vinbæltet 34;København;;1734;Dinamarca
10342;FRANK;4;25/10/2016;08/11/2016;03/11/2036;30/10/2016;2;54,83;Frankenversand;Berliner Platz 43;München;;80805;Alemanha
10343;LEHMS;4;26/10/2016;23/11/2016;18/11/2036;01/11/2016;1;110,37;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Alemanha
10344;WHITC;4;27/10/2016;24/11/2016;19/11/2036;31/10/2016;2;23,29;White Clover Markets;1029 - 12th Ave. S.;Seattle;WA;98124;EUA
10345;QUICK;2;30/10/2016;27/11/2016;22/11/2036;06/11/2016;2;249,06;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Alemanha
10346;RATTC;3;31/10/2016;12/12/2016;07/12/2036;03/11/2016;3;142,08;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;EUA
10347;FAMIA;4;01/11/2016;29/11/2016;24/11/2036;03/11/2016;3;3,10;Familia Arquibaldo;Rua Orós, 92;São Paulo;SP;05442-030;Brasil
10348;WANDK;4;02/11/2016;30/11/2016;25/11/2036;10/11/2016;2;0,78;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Alemanha
10349;SPLIR;7;03/11/2016;01/12/2016;26/11/2036;10/11/2016;1;8,63;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;EUA
10350;LAMAI;6;06/11/2016;04/12/2016;29/11/2036;28/11/2016;2;64,19;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;;31000;França
10351;ERNSH;1;06/11/2016;04/12/2016;29/11/2036;15/11/2016;1;162,33;Ernst Handel;Kirchgasse 6;Graz;;8010;Áustria
10352;FURIB;3;07/11/2016;21/11/2016;16/11/2036;13/11/2016;3;1,30;Furia Bacalhau e Frutos do Mar;Jardim das rosas n. 32;Lisboa;;1675;Portugal
10353;PICCO;7;08/11/2016;06/12/2016;01/12/2036;20/11/2016;3;360,63;Piccolo und mehr;Geislweg 14;Salzburg;;5020;Áustria
10354;PERIC;8;09/11/2016;07/12/2016;02/12/2036;15/11/2016;3;53,80;Pericles Comidas clásicas;Calle Dr. Jorge Cash 321;México D.F.;;05033;México
10355;AROUT;6;10/11/2016;08/12/2016;03/12/2036;15/11/2016;1;41,95;Around the Horn;"Brook Farm
Stratford St. Mary";Colchester;Essex;CO7 6JX;Reino Unido
10356;WANDK;6;13/11/2016;11/12/2016;06/12/2036;22/11/2016;2;36,71;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Alemanha
10357;LILAS;1;14/11/2016;12/12/2016;07/12/2036;27/11/2016;3;34,88;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
10358;LAMAI;5;15/11/2016;13/12/2016;08/12/2036;22/11/2016;1;19,64;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;;31000;França
10359;SEVES;5;16/11/2016;14/12/2016;09/12/2036;21/11/2016;3;288,43;Seven Seas Imports;90 Wadhurst Rd.;London;;OX15 4NB;Reino Unido
10360;BLONP;4;17/11/2016;15/12/2016;10/12/2036;27/11/2016;3;131,70;Blondel père et fils;24, place Kléber;Strasbourg;;67000;França
10361;QUICK;1;17/11/2016;15/12/2016;10/12/2036;28/11/2016;2;183,17;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Alemanha
10362;BONAP;3;20/11/2016;18/12/2016;13/12/2036;23/11/2016;1;96,04;Bon app';12, rue des Bouchers;Marseille;;13008;França
10363;DRACD;4;21/11/2016;19/12/2016;14/12/2036;29/11/2016;3;30,54;Drachenblut Delikatessen;Walserweg 21;Aachen;;52066;Alemanha
10364;EASTC;1;21/11/2016;02/01/2017;28/12/2036;29/11/2016;1;71,97;Eastern Connection;35 King George;London;;WX3 6FW;Reino Unido
10365;ANTON;3;22/11/2016;20/12/2016;15/12/2036;27/11/2016;2;22,00;Antonio Moreno Taquería;Mataderos  2312;México D.F.;;05023;México
10366;GALED;8;23/11/2016;04/01/2017;30/12/2036;25/12/2016;2;10,14;Galería del gastronómo;Rambla de Cataluña, 23;Barcelona;;8022;Espanha
10367;VAFFE;7;23/11/2016;21/12/2016;16/12/2036;27/11/2016;3;13,55;Vaffeljernet;Smagsløget 45;Århus;;8200;Dinamarca
10368;ERNSH;2;24/11/2016;22/12/2016;17/12/2036;27/11/2016;2;101,95;Ernst Handel;Kirchgasse 6;Graz;;8010;Áustria
10369;SPLIR;8;27/11/2016;25/12/2016;20/12/2036;04/12/2016;2;195,68;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;EUA
10370;CHOPS;6;28/11/2016;26/12/2016;21/12/2036;22/12/2016;2;1,17;Chop-suey Chinese;Hauptstr. 31;Bern;;3012;Suíça
10371;LAMAI;1;28/11/2016;26/12/2016;21/12/2036;19/12/2016;1;0,45;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;;31000;França
10372;QUEEN;5;29/11/2016;27/12/2016;22/12/2036;04/12/2016;2;890,78;Queen Cozinha;Alameda dos Canàrios, 891;São Paulo;SP;05487-020;Brasil
10373;HUNGO;4;30/11/2016;28/12/2016;23/12/2036;06/12/2016;3;124,12;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Irlanda
10374;WOLZA;1;30/11/2016;28/12/2016;23/12/2036;04/12/2016;3;3,94;Wolski Zajazd;ul. Filtrowa 68;Warszawa;;01-012;Polônia
10375;HUNGC;3;01/12/2016;29/12/2016;24/12/2036;04/12/2016;2;20,12;Hungry Coyote Import Store;"City Center Plaza
516 Main St.";Elgin;OR;97827;EUA
10376;MEREP;1;04/12/2016;01/01/2017;27/12/2036;08/12/2016;2;20,39;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canadá
10377;SEVES;1;04/12/2016;01/01/2017;27/12/2036;08/12/2016;3;22,21;Seven Seas Imports;90 Wadhurst Rd.;London;;OX15 4NB;Reino Unido
10378;FOLKO;5;05/12/2016;02/01/2017;28/12/2036;14/12/2016;3;5,44;Folk och fä HB;Åkergatan 24;Bräcke;;S-844 67;Suécia
10379;QUEDE;2;06/12/2016;03/01/2017;29/12/2036;08/12/2016;1;45,03;Que Delícia;Rua da Panificadora, 12;Rio de Janeiro;RJ;02389-673;Brasil
10380;HUNGO;8;07/12/2016;04/01/2017;30/12/2036;11/01/2017;3;35,03;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Irlanda
10381;LILAS;3;07/12/2016;04/01/2017;30/12/2036;08/12/2016;3;7,99;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
10382;ERNSH;4;08/12/2016;05/01/2017;31/12/2036;11/12/2016;1;94,77;Ernst Handel;Kirchgasse 6;Graz;;8010;Áustria
10383;AROUT;8;11/12/2016;08/01/2017;03/01/2037;13/12/2016;3;34,24;Around the Horn;"Brook Farm
Stratford St. Mary";Colchester;Essex;CO7 6JX;Reino Unido
10384;BERGS;3;11/12/2016;08/01/2017;03/01/2037;15/12/2016;3;168,64;Berglunds snabbköp;Berguvsvägen  8;Luleå;;S-958 22;Suécia
10385;SPLIR;1;12/12/2016;09/01/2017;04/01/2037;18/12/2016;2;30,96;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;EUA
10386;FAMIA;9;13/12/2016;27/12/2016;22/12/2036;20/12/2016;3;13,99;Familia Arquibaldo;Rua Orós, 92;São Paulo;SP;05442-030;Brasil
10387;SANTG;1;13/12/2016;10/01/2017;05/01/2037;15/12/2016;2;93,63;Santé Gourmet;Erling Skakkes gate 78;Stavern;;4110;Noruega
10388;SEVES;2;14/12/2016;11/01/2017;06/01/2037;15/12/2016;1;34,86;Seven Seas Imports;90 Wadhurst Rd.;London;;OX15 4NB;Reino Unido
10389;BOTTM;4;15/12/2016;12/01/2017;07/01/2037;19/12/2016;2;47,42;Bottom-Dollar Markets;23 Tsawassen Blvd.;Tsawassen;BC;T2F 8M4;Canadá
10390;ERNSH;6;18/12/2016;15/01/2017;10/01/2037;21/12/2016;1;126,38;Ernst Handel;Kirchgasse 6;Graz;;8010;Áustria
10391;DRACD;3;18/12/2016;15/01/2017;10/01/2037;26/12/2016;3;5,45;Drachenblut Delikatessen;Walserweg 21;Aachen;;52066;Alemanha
10392;PICCO;2;19/12/2016;16/01/2017;11/01/2037;27/12/2016;3;122,46;Piccolo und mehr;Geislweg 14;Salzburg;;5020;Áustria
10393;SAVEA;1;20/12/2016;17/01/2017;12/01/2037;29/12/2016;3;126,56;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;EUA
10394;HUNGC;1;20/12/2016;17/01/2017;12/01/2037;29/12/2016;3;30,34;Hungry Coyote Import Store;"City Center Plaza
516 Main St.";Elgin;OR;97827;EUA
10395;HILAA;6;21/12/2016;18/01/2017;13/01/2037;29/12/2016;1;184,41;HILARIÓN-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Táchira;5022;Venezuela
10396;FRANK;1;22/12/2016;05/01/2017;31/12/2036;01/01/2017;3;135,35;Frankenversand;Berliner Platz 43;München;;80805;Alemanha
10397;PRINI;5;22/12/2016;19/01/2017;14/01/2037;28/12/2016;1;60,26;Princesa Isabel Vinhos;Estrada da saúde n. 58;Lisboa;;1756;Portugal
10398;SAVEA;2;25/12/2016;22/01/2017;17/01/2037;04/01/2017;3;89,16;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;EUA
10399;VAFFE;8;26/12/2016;09/01/2017;04/01/2037;03/01/2017;3;27,36;Vaffeljernet;Smagsløget 45;Århus;;8200;Dinamarca
10400;EASTC;1;27/12/2016;24/01/2017;19/01/2037;11/01/2017;3;83,93;Eastern Connection;35 King George;London;;WX3 6FW;Reino Unido
10401;RATTC;1;27/12/2016;24/01/2017;19/01/2037;05/01/2017;1;12,51;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;EUA
10402;ERNSH;8;28/12/2016;08/02/2017;03/02/2037;05/01/2017;2;67,88;Ernst Handel;Kirchgasse 6;Graz;;8010;Áustria
10403;ERNSH;4;29/12/2016;26/01/2017;21/01/2037;04/01/2017;3;73,79;Ernst Handel;Kirchgasse 6;Graz;;8010;Áustria
10404;MAGAA;2;29/12/2016;26/01/2017;21/01/2037;03/01/2017;1;155,97;Magazzini Alimentari Riuniti;Via Ludovico il Moro 22;Bergamo;;24100;Itália
10405;LINOD;1;01/01/2017;29/01/2017;24/01/2037;17/01/2017;1;34,82;LINO-Delicateses;Ave. 5 de Mayo Porlamar;I. de Margarita;Nueva Esparta;4980;Venezuela
10406;QUEEN;7;02/01/2017;13/02/2017;08/02/2037;08/01/2017;1;108,04;Queen Cozinha;Alameda dos Canàrios, 891;São Paulo;SP;05487-020;Brasil
10407;OTTIK;2;02/01/2017;30/01/2017;25/01/2037;25/01/2017;2;91,48;Ottilies Käseladen;Mehrheimerstr. 369;Köln;;50739;Alemanha
10408;FOLIG;8;03/01/2017;31/01/2017;26/01/2037;09/01/2017;1;11,26;Folies gourmandes;184, chaussée de Tournai;Lille;;59000;França
10409;OCEAN;3;04/01/2017;01/02/2017;27/01/2037;09/01/2017;1;29,83;Océano Atlántico Ltda.;"Ing. Gustavo Moncada 8585
Piso 20-A";Buenos Aires;;1010;Argentina
10410;BOTTM;3;05/01/2017;02/02/2017;28/01/2037;10/01/2017;3;2,40;Bottom-Dollar Markets;23 Tsawassen Blvd.;Tsawassen;BC;T2F 8M4;Canadá
10411;BOTTM;9;05/01/2017;02/02/2017;28/01/2037;16/01/2017;3;23,65;Bottom-Dollar Markets;23 Tsawassen Blvd.;Tsawassen;BC;T2F 8M4;Canadá
